NT;R25;R75;TT;WT
414;-0.58;-0.53;33953;-0.549
420;-0.56;-0.53;32263;-0.547
417;-0.57;-0.53;33575;-0.549
441;-0.57;-0.54;36298;-0.553
427;-0.57;-0.54;35504;-0.552
420;-0.57;-0.54;34171;-0.554
430;-0.57;-0.54;35480;-0.553
432;-0.57;-0.54;36207;-0.555
455;-0.57;-0.54;33843;-0.552
526;-0.47;-0.44;37261;-0.451
486;-0.47;-0.44;33044;-0.45
489;-0.47;-0.44;34309;-0.451
464;-0.47;-0.44;33189;-0.449
461;-0.47;-0.44;32843;-0.45
479;-0.47;-0.44;36951;-0.451
494;-0.47;-0.44;36393;-0.45
463;-0.47;-0.44;31937;-0.45
474;-0.46;-0.44;32242;-0.449
477;-0.47;-0.44;35951;-0.45
481;-0.46;-0.44;35270;-0.449
487;-0.47;-0.44;39196;-0.449
465;-0.47;-0.44;39285;-0.448
452;-0.47;-0.44;38854;-0.45
482;-0.47;-0.44;40851;-0.451
495;-0.47;-0.44;40062;-0.45
425;-0.47;-0.44;33585;-0.45
422;-0.46;-0.44;32337;-0.449
474;-0.47;-0.44;38957;-0.449
507;-0.46;-0.37;50940;-0.427
473;-0.47;-0.44;40893;-0.45
506;-0.47;-0.44;46222;-0.453
489;-0.48;-0.44;45716;-0.454
422;-0.47;-0.44;40529;-0.452
417;-0.47;-0.44;40015;-0.451
484;-0.47;-0.44;41672;-0.451
471;-0.47;-0.44;39322;-0.451
457;-0.47;-0.44;38574;-0.449
467;-0.47;-0.44;40202;-0.452
484;-0.48;-0.44;42074;-0.454
486;-0.47;-0.44;40846;-0.452
501;-0.47;-0.44;40753;-0.452
469;-0.47;-0.44;36773;-0.452
476;-0.47;-0.44;37024;-0.451
464;-0.47;-0.44;36700;-0.449
471;-0.47;-0.43;37593;-0.448
470;-0.47;-0.44;35565;-0.449
466;-0.47;-0.44;34762;-0.449
467;-0.47;-0.44;33899;-0.45
469;-0.47;-0.44;34561;-0.449
479;-0.47;-0.44;37664;-0.451
482;-0.47;-0.44;38735;-0.452
489;-0.47;-0.44;39138;-0.452
478;-0.47;-0.44;39054;-0.452
479;-0.47;-0.44;38926;-0.452
501;-0.47;-0.44;37858;-0.451
471;-0.47;-0.44;36060;-0.45
466;-0.47;-0.44;37153;-0.451
477;-0.47;-0.44;36917;-0.45
458;-0.47;-0.44;35553;-0.45
485;-0.47;-0.44;39056;-0.452
465;-0.47;-0.44;39269;-0.452
459;-0.47;-0.44;37629;-0.45
470;-0.47;-0.44;39101;-0.45
477;-0.47;-0.44;41897;-0.452
479;-0.47;-0.44;38660;-0.45
462;-0.47;-0.44;37081;-0.45
431;-0.5;-0.43;32584;-0.459
478;-0.47;-0.44;35792;-0.451
473;-0.47;-0.44;34868;-0.449
481;-0.47;-0.44;34712;-0.45
483;-0.46;-0.44;37183;-0.449
467;-0.47;-0.44;36176;-0.45
416;-0.48;-0.44;31335;-0.451
427;-0.48;-0.44;33069;-0.45
478;-0.47;-0.44;35535;-0.449
480;-0.47;-0.44;38322;-0.45
454;-0.47;-0.44;34493;-0.449
492;-0.47;-0.44;38495;-0.452
508;-0.47;-0.44;39782;-0.452
513;-0.47;-0.44;41283;-0.449
353;-0.48;-0.44;30581;-0.455
435;-0.47;-0.44;32935;-0.45
494;-0.47;-0.44;38837;-0.449
496;-0.47;-0.44;39282;-0.45
498;-0.47;-0.44;39836;-0.451
496;-0.47;-0.44;38407;-0.451
465;-0.47;-0.44;36233;-0.448
370;-0.47;-0.44;28910;-0.45
396;-0.47;-0.44;30539;-0.448
488;-0.47;-0.44;38671;-0.448
414;-0.47;-0.44;36449;-0.45
405;-0.47;-0.44;35419;-0.451
478;-0.47;-0.44;39991;-0.45
529;-0.45;-0.37;51433;-0.43
518;-0.46;-0.44;41403;-0.448
514;-0.46;-0.44;40608;-0.449
504;-0.47;-0.44;38718;-0.449
488;-0.47;-0.44;40785;-0.45
506;-0.47;-0.44;41095;-0.449
503;-0.47;-0.44;41510;-0.45
509;-0.47;-0.43;42944;-0.448
494;-0.47;-0.44;40432;-0.45
495;-0.47;-0.44;40708;-0.451
495;-0.47;-0.44;41177;-0.45
502;-0.47;-0.44;43207;-0.45
415;-0.47;-0.44;33998;-0.455
407;-0.47;-0.44;32580;-0.454
507;-0.47;-0.44;42056;-0.451
522;-0.46;-0.44;40467;-0.448
445;-0.46;-0.44;35780;-0.448
460;-0.47;-0.44;37102;-0.449
445;-0.47;-0.44;37610;-0.45
476;-0.47;-0.44;40870;-0.449
474;-0.47;-0.44;39942;-0.449
464;-0.47;-0.44;35015;-0.449
472;-0.46;-0.44;38978;-0.448
509;-0.47;-0.44;39022;-0.45
514;-0.47;-0.44;37498;-0.45
525;-0.47;-0.44;38393;-0.451
524;-0.47;-0.44;40720;-0.453
543;-0.47;-0.44;40515;-0.452
552;-0.47;-0.44;44257;-0.452
543;-0.47;-0.44;41675;-0.451
543;-0.48;-0.44;40495;-0.451
535;-0.48;-0.44;39750;-0.451
542;-0.48;-0.44;40664;-0.452
533;-0.47;-0.44;39633;-0.448
534;-0.47;-0.44;38679;-0.449
465;-0.5;-0.44;33485;-0.458
517;-0.48;-0.44;36743;-0.451
520;-0.47;-0.44;36024;-0.448
519;-0.47;-0.44;37557;-0.449
528;-0.47;-0.44;37385;-0.449
537;-0.48;-0.44;38686;-0.451
523;-0.48;-0.44;37164;-0.451
544;-0.49;-0.44;39715;-0.452
568;-0.49;-0.44;40796;-0.453
544;-0.48;-0.44;38811;-0.451
539;-0.47;-0.44;37570;-0.448
540;-0.48;-0.44;39290;-0.451
532;-0.48;-0.44;38399;-0.451
543;-0.47;-0.44;42056;-0.451
511;-0.48;-0.44;39001;-0.45
491;-0.47;-0.44;35849;-0.448
515;-0.48;-0.44;35899;-0.45
533;-0.48;-0.44;36131;-0.449
511;-0.47;-0.44;33943;-0.448
490;-0.47;-0.44;32666;-0.45
485;-0.47;-0.44;30529;-0.449
496;-0.47;-0.44;31510;-0.449
493;-0.46;-0.44;30524;-0.447
496;-0.47;-0.44;31463;-0.449
514;-0.47;-0.44;34950;-0.452
491;-0.47;-0.44;32423;-0.448
486;-0.46;-0.44;31916;-0.448
513;-0.46;-0.37;42912;-0.432
478;-0.47;-0.44;33501;-0.448
491;-0.47;-0.44;36910;-0.451
468;-0.47;-0.44;31773;-0.449
473;-0.47;-0.44;31917;-0.45
477;-0.47;-0.44;34285;-0.449
498;-0.47;-0.44;35049;-0.449
510;-0.47;-0.44;37378;-0.449
501;-0.47;-0.44;36656;-0.449
501;-0.47;-0.44;37176;-0.449
509;-0.47;-0.44;37579;-0.451
526;-0.47;-0.44;39859;-0.45
542;-0.47;-0.44;42949;-0.451
527;-0.47;-0.44;41147;-0.45
517;-0.46;-0.44;37353;-0.449
522;-0.47;-0.44;37534;-0.449
509;-0.46;-0.44;36159;-0.449
497;-0.46;-0.44;36352;-0.449
487;-0.46;-0.44;35988;-0.448
489;-0.45;-0.44;36947;-0.448
478;-0.45;-0.44;34676;-0.448
496;-0.46;-0.44;37100;-0.449
500;-0.46;-0.44;37313;-0.449
501;-0.45;-0.44;35633;-0.448
501;-0.45;-0.44;37095;-0.448
495;-0.45;-0.44;36246;-0.448
508;-0.46;-0.44;35936;-0.449
497;-0.46;-0.44;37435;-0.448
495;-0.46;-0.44;36494;-0.449
497;-0.46;-0.44;35957;-0.449
502;-0.46;-0.44;36391;-0.449
518;-0.46;-0.44;38676;-0.45
518;-0.46;-0.44;39711;-0.45
503;-0.46;-0.44;39716;-0.449
486;-0.45;-0.44;36680;-0.449
470;-0.45;-0.44;33964;-0.448
224;-0.5;-0.42;16404;-0.464
434;-0.45;-0.44;28841;-0.448
467;-0.46;-0.44;30730;-0.448
366;-0.46;-0.44;25563;-0.449
400;-0.46;-0.44;27460;-0.449
497;-0.46;-0.44;34929;-0.449
498;-0.46;-0.44;34540;-0.449
489;-0.45;-0.44;37064;-0.448
486;-0.46;-0.44;34201;-0.449
486;-0.46;-0.44;34064;-0.448
479;-0.46;-0.44;34303;-0.449
476;-0.46;-0.44;35120;-0.45
466;-0.46;-0.44;35539;-0.45
482;-0.46;-0.44;37850;-0.45
469;-0.46;-0.44;36323;-0.449
461;-0.46;-0.44;36292;-0.449
468;-0.46;-0.44;36593;-0.449
479;-0.45;-0.44;37345;-0.447
470;-0.46;-0.44;36443;-0.449
458;-0.46;-0.44;31065;-0.449
458;-0.45;-0.44;32554;-0.448
467;-0.45;-0.44;32991;-0.448
469;-0.46;-0.44;35367;-0.448
459;-0.46;-0.44;34332;-0.448
461;-0.45;-0.44;34815;-0.448
483;-0.45;-0.44;36045;-0.447
471;-0.45;-0.44;36666;-0.448
479;-0.45;-0.44;37787;-0.448
476;-0.46;-0.44;37185;-0.449
476;-0.46;-0.44;36307;-0.449
515;-0.45;-0.37;46471;-0.435
477;-0.46;-0.44;36998;-0.448
483;-0.46;-0.44;37341;-0.449
492;-0.46;-0.44;37818;-0.45
462;-0.46;-0.44;34677;-0.449
490;-0.46;-0.44;38091;-0.448
491;-0.46;-0.44;38756;-0.448
487;-0.46;-0.44;39288;-0.45
482;-0.46;-0.44;37334;-0.449
477;-0.46;-0.44;38664;-0.449
418;-0.46;-0.44;34666;-0.449
383;-0.46;-0.44;30433;-0.449
462;-0.46;-0.44;37427;-0.449
471;-0.46;-0.44;35545;-0.449
456;-0.46;-0.44;35191;-0.448
428;-0.45;-0.44;32271;-0.448
465;-0.45;-0.44;36011;-0.448
461;-0.45;-0.44;34992;-0.448
460;-0.46;-0.44;34495;-0.449
459;-0.46;-0.44;34085;-0.448
456;-0.46;-0.44;34335;-0.449
461;-0.46;-0.44;34483;-0.449
442;-0.46;-0.44;33222;-0.449
452;-0.46;-0.44;34522;-0.449
456;-0.46;-0.44;33913;-0.447
444;-0.46;-0.44;32739;-0.448
455;-0.45;-0.44;33229;-0.448
467;-0.45;-0.44;33623;-0.447
442;-0.46;-0.44;34347;-0.448
438;-0.46;-0.44;33931;-0.447
446;-0.46;-0.44;34662;-0.449
372;-0.47;-0.44;31617;-0.449
425;-0.46;-0.44;30717;-0.449
439;-0.46;-0.44;32713;-0.448
437;-0.5;-0.44;30769;-0.454
435;-0.46;-0.44;29789;-0.448
473;-0.47;-0.44;35097;-0.451
427;-0.46;-0.44;32621;-0.449
424;-0.46;-0.44;31861;-0.451
441;-0.46;-0.44;32591;-0.451
453;-0.46;-0.44;32697;-0.449
447;-0.46;-0.44;32842;-0.449
462;-0.46;-0.44;34765;-0.449
478;-0.46;-0.44;34132;-0.449
489;-0.46;-0.44;33970;-0.449
480;-0.46;-0.44;31468;-0.448
480;-0.45;-0.38;38430;-0.435
470;-0.46;-0.44;33191;-0.449
473;-0.46;-0.44;33660;-0.449
493;-0.46;-0.44;32340;-0.449
495;-0.47;-0.44;34041;-0.453
474;-0.47;-0.44;33478;-0.451
477;-0.47;-0.44;33926;-0.451
471;-0.46;-0.44;32275;-0.45
465;-0.46;-0.44;30677;-0.449
464;-0.46;-0.44;31260;-0.448
442;-0.46;-0.44;31005;-0.448
472;-0.46;-0.44;35395;-0.449
411;-0.46;-0.44;28224;-0.449
403;-0.46;-0.44;27296;-0.448
464;-0.46;-0.44;32773;-0.449
458;-0.46;-0.44;32685;-0.449
460;-0.46;-0.44;32060;-0.449
471;-0.47;-0.44;35303;-0.451
461;-0.46;-0.44;33694;-0.45
450;-0.46;-0.44;32185;-0.449
375;-0.46;-0.44;29213;-0.449
388;-0.46;-0.44;28540;-0.449
473;-0.47;-0.44;33201;-0.45
462;-0.46;-0.44;33519;-0.45
462;-0.46;-0.44;31818;-0.449
471;-0.46;-0.44;33213;-0.45
481;-0.47;-0.44;34521;-0.451
464;-0.47;-0.44;33779;-0.45
459;-0.46;-0.44;32618;-0.449
458;-0.46;-0.44;30402;-0.449
459;-0.46;-0.44;31500;-0.449
471;-0.47;-0.44;34566;-0.45
447;-0.46;-0.44;29642;-0.448
423;-0.46;-0.44;30078;-0.448
435;-0.46;-0.44;31114;-0.45
443;-0.46;-0.44;31884;-0.45
454;-0.46;-0.44;32522;-0.449
467;-0.47;-0.44;34925;-0.451
449;-0.47;-0.44;32270;-0.451
444;-0.47;-0.44;31800;-0.451
470;-0.47;-0.44;34090;-0.451
474;-0.47;-0.44;35352;-0.451
462;-0.46;-0.44;32190;-0.45
475;-0.46;-0.44;34169;-0.449
467;-0.46;-0.44;34929;-0.45
466;-0.46;-0.44;33517;-0.45
470;-0.47;-0.44;35367;-0.45
475;-0.47;-0.44;37273;-0.451
475;-0.47;-0.44;37807;-0.451
475;-0.46;-0.44;35653;-0.45
488;-0.47;-0.44;35751;-0.451
458;-0.46;-0.44;32959;-0.45
465;-0.46;-0.44;33487;-0.45
430;-0.48;-0.44;27434;-0.452
428;-0.47;-0.44;30506;-0.451
434;-0.46;-0.44;34378;-0.448
444;-0.48;-0.44;32027;-0.452
450;-0.5;-0.44;32890;-0.454
439;-0.48;-0.44;32869;-0.451
448;-0.48;-0.44;34109;-0.452
451;-0.47;-0.44;32371;-0.45
487;-0.47;-0.44;38786;-0.451
462;-0.48;-0.44;34419;-0.451
459;-0.46;-0.44;31487;-0.45
468;-0.47;-0.44;31402;-0.45
465;-0.46;-0.44;32396;-0.449
466;-0.48;-0.44;34445;-0.452
466;-0.48;-0.44;34025;-0.452
458;-0.48;-0.44;34247;-0.452
484;-0.48;-0.44;35847;-0.451
469;-0.48;-0.44;34737;-0.452
481;-0.48;-0.44;37764;-0.453
455;-0.48;-0.44;36637;-0.455
447;-0.48;-0.44;36479;-0.455
396;-0.5;-0.44;30347;-0.457
425;-0.5;-0.45;33268;-0.458
443;-0.5;-0.45;32590;-0.46
357;-0.48;-0.44;24325;-0.453
363;-0.46;-0.44;24662;-0.45
428;-0.48;-0.44;29493;-0.454
423;-0.48;-0.44;28726;-0.454
457;-0.47;-0.44;33917;-0.452
295;-0.47;-0.44;28349;-0.452
372;-0.46;-0.44;26393;-0.45
443;-0.47;-0.44;28910;-0.451
464;-0.46;-0.4;37089;-0.441
438;-0.47;-0.44;31964;-0.452
437;-0.47;-0.44;32290;-0.452
450;-0.47;-0.44;32134;-0.451
334;-0.47;-0.44;28211;-0.452
374;-0.46;-0.44;28204;-0.448
432;-0.47;-0.44;31568;-0.45
366;-0.47;-0.44;25874;-0.453
363;-0.46;-0.44;24985;-0.45
430;-0.47;-0.44;31393;-0.453
442;-0.47;-0.44;32523;-0.452
429;-0.46;-0.44;30478;-0.45
409;-0.46;-0.44;29469;-0.45
422;-0.47;-0.44;29037;-0.45
435;-0.47;-0.44;29977;-0.452
439;-0.47;-0.44;29920;-0.452
471;-0.46;-0.44;30093;-0.45
462;-0.48;-0.44;30504;-0.452
455;-0.48;-0.44;30228;-0.452
465;-0.46;-0.44;33154;-0.45
469;-0.47;-0.44;33808;-0.451
478;-0.5;-0.44;36256;-0.453
459;-0.47;-0.44;34252;-0.451
466;-0.47;-0.44;36529;-0.452
460;-0.47;-0.44;35886;-0.452
463;-0.47;-0.44;37182;-0.453
428;-0.47;-0.44;34524;-0.453
438;-0.47;-0.44;35182;-0.453
421;-0.47;-0.44;32778;-0.453
471;-0.47;-0.45;33651;-0.454
441;-0.47;-0.45;33494;-0.452
410;-0.5;-0.44;26378;-0.458
414;-0.47;-0.44;28323;-0.45
407;-0.47;-0.44;29469;-0.451
407;-0.48;-0.44;29299;-0.452
415;-0.47;-0.44;31812;-0.452
440;-0.47;-0.44;33411;-0.45
458;-0.47;-0.44;36112;-0.454
448;-0.48;-0.44;36218;-0.454
456;-0.5;-0.44;37650;-0.455
454;-0.47;-0.44;36415;-0.454
441;-0.5;-0.44;34765;-0.454
432;-0.47;-0.44;35410;-0.453
437;-0.48;-0.44;34988;-0.454
454;-0.47;-0.44;34995;-0.453
454;-0.47;-0.44;33977;-0.452
460;-0.47;-0.44;35608;-0.453
447;-0.47;-0.44;33599;-0.452
430;-0.47;-0.44;34415;-0.453
425;-0.48;-0.44;33847;-0.454
412;-0.47;-0.44;30457;-0.452
401;-0.47;-0.44;31283;-0.451
438;-0.47;-0.44;36536;-0.452
444;-0.47;-0.45;36315;-0.453
452;-0.47;-0.44;36273;-0.452
409;-0.47;-0.45;31844;-0.453
427;-0.47;-0.45;32826;-0.452
438;-0.46;-0.44;32806;-0.45
442;-0.47;-0.44;33911;-0.451
449;-0.48;-0.44;36854;-0.453
405;-0.47;-0.44;34742;-0.451
465;-0.46;-0.38;44084;-0.441
431;-0.46;-0.44;34693;-0.451
426;-0.47;-0.44;32347;-0.451
474;-0.47;-0.44;35042;-0.452
448;-0.47;-0.44;36168;-0.451
483;-0.47;-0.44;37373;-0.452
481;-0.47;-0.44;38415;-0.452
459;-0.47;-0.44;36904;-0.451
473;-0.47;-0.44;38215;-0.452
426;-0.48;-0.45;36006;-0.454
439;-0.48;-0.45;34711;-0.455
432;-0.47;-0.44;36037;-0.452
456;-0.47;-0.44;35127;-0.452
469;-0.47;-0.44;33744;-0.453
428;-0.47;-0.45;33945;-0.453
442;-0.47;-0.44;32577;-0.452
419;-0.46;-0.44;31190;-0.451
448;-0.47;-0.44;34048;-0.453
470;-0.47;-0.44;34254;-0.453
441;-0.48;-0.45;36251;-0.455
443;-0.47;-0.44;33284;-0.452
457;-0.48;-0.45;36460;-0.454
470;-0.47;-0.45;37917;-0.454
477;-0.48;-0.45;36492;-0.456
412;-0.47;-0.45;34171;-0.453
473;-0.46;-0.44;32167;-0.451
494;-0.47;-0.44;34432;-0.452
501;-0.47;-0.45;35989;-0.452
492;-0.47;-0.44;36123;-0.451
414;-0.47;-0.44;37324;-0.453
536;-0.46;-0.44;32484;-0.45
602;-0.46;-0.44;33648;-0.449
635;-0.46;-0.44;34023;-0.45
264;-0.5;-0.43;16478;-0.474
621;-0.46;-0.44;30157;-0.448
610;-0.46;-0.44;26048;-0.449
340;-0.46;-0.44;21939;-0.451
484;-0.46;-0.44;27244;-0.448
499;-0.46;-0.44;28235;-0.448
502;-0.46;-0.44;31405;-0.449
498;-0.46;-0.44;30757;-0.449
504;-0.46;-0.44;31736;-0.448
507;-0.46;-0.44;31494;-0.449
516;-0.46;-0.44;32704;-0.449
511;-0.46;-0.44;33651;-0.449
527;-0.46;-0.44;32053;-0.449
496;-0.46;-0.44;30651;-0.449
506;-0.46;-0.44;32390;-0.449
513;-0.46;-0.44;32383;-0.45
519;-0.46;-0.44;32909;-0.45
534;-0.46;-0.44;35555;-0.45
534;-0.46;-0.44;36436;-0.45
512;-0.5;-0.44;33849;-0.456
512;-0.46;-0.44;34250;-0.449
526;-0.46;-0.44;34548;-0.45
506;-0.46;-0.44;36840;-0.448
511;-0.46;-0.44;34077;-0.45
523;-0.46;-0.44;34122;-0.45
532;-0.46;-0.44;36278;-0.45
527;-0.46;-0.44;35353;-0.45
535;-0.46;-0.44;35061;-0.45
506;-0.46;-0.44;34714;-0.451
530;-0.46;-0.44;35660;-0.45
534;-0.46;-0.44;34285;-0.449
525;-0.46;-0.44;30728;-0.447
552;-0.46;-0.44;35085;-0.449
529;-0.46;-0.44;33625;-0.448
549;-0.46;-0.44;36293;-0.449
558;-0.46;-0.44;38420;-0.449
546;-0.46;-0.44;37848;-0.449
548;-0.46;-0.44;36138;-0.449
533;-0.46;-0.44;34932;-0.448
549;-0.46;-0.44;36972;-0.45
501;-0.47;-0.44;34619;-0.451
437;-0.5;-0.44;29481;-0.465
519;-0.46;-0.44;30169;-0.449
521;-0.46;-0.44;30509;-0.448
526;-0.46;-0.44;32848;-0.448
530;-0.46;-0.44;32231;-0.447
537;-0.46;-0.44;31062;-0.446
530;-0.46;-0.44;32182;-0.447
544;-0.46;-0.44;33914;-0.448
562;-0.46;-0.44;35568;-0.449
553;-0.46;-0.44;33799;-0.448
545;-0.47;-0.44;34291;-0.449
556;-0.46;-0.44;34165;-0.448
554;-0.46;-0.44;34590;-0.447
540;-0.46;-0.44;33207;-0.447
527;-0.46;-0.44;32022;-0.447
543;-0.46;-0.43;34395;-0.447
536;-0.46;-0.43;34268;-0.446
536;-0.45;-0.43;34287;-0.446
545;-0.46;-0.44;33566;-0.446
542;-0.45;-0.43;32154;-0.445
518;-0.46;-0.44;32695;-0.446
508;-0.46;-0.43;30322;-0.445
486;-0.5;-0.42;24856;-0.46
530;-0.46;-0.44;30664;-0.446
542;-0.45;-0.43;31016;-0.445
570;-0.46;-0.43;34658;-0.446
561;-0.45;-0.43;33476;-0.445
553;-0.46;-0.44;32474;-0.448
575;-0.45;-0.38;39926;-0.427
562;-0.46;-0.44;34098;-0.447
580;-0.46;-0.43;34733;-0.445
580;-0.45;-0.43;34358;-0.444
541;-0.45;-0.43;31050;-0.445
539;-0.45;-0.43;28730;-0.445
572;-0.45;-0.43;33708;-0.445
576;-0.46;-0.43;34421;-0.446
581;-0.46;-0.44;35876;-0.447
571;-0.46;-0.44;34931;-0.446
568;-0.46;-0.44;33940;-0.447
558;-0.46;-0.44;32661;-0.447
561;-0.46;-0.44;32879;-0.447
554;-0.46;-0.44;32622;-0.446
540;-0.45;-0.43;31687;-0.446
529;-0.5;-0.43;30051;-0.449
529;-0.46;-0.43;29576;-0.445
551;-0.46;-0.43;30834;-0.445
456;-0.46;-0.43;23332;-0.444
463;-0.45;-0.43;23674;-0.444
557;-0.46;-0.43;33131;-0.447
559;-0.46;-0.43;32496;-0.445
572;-0.45;-0.43;32272;-0.445
584;-0.46;-0.44;34283;-0.446
579;-0.45;-0.44;33764;-0.445
577;-0.46;-0.44;33455;-0.446
579;-0.46;-0.44;34878;-0.446
482;-0.46;-0.44;29689;-0.447
459;-0.46;-0.43;28463;-0.445
545;-0.46;-0.44;32201;-0.446
544;-0.45;-0.44;30736;-0.446
536;-0.45;-0.44;31254;-0.446
549;-0.45;-0.44;31168;-0.446
554;-0.46;-0.44;30561;-0.446
540;-0.46;-0.44;31339;-0.447
557;-0.46;-0.44;32087;-0.447
558;-0.46;-0.44;30408;-0.447
529;-0.46;-0.43;29065;-0.446
510;-0.5;-0.43;26369;-0.451
508;-0.46;-0.44;26589;-0.446
530;-0.46;-0.44;29040;-0.446
539;-0.46;-0.43;30926;-0.446
541;-0.46;-0.43;32182;-0.447
535;-0.46;-0.44;31052;-0.447
526;-0.46;-0.44;31752;-0.447
533;-0.46;-0.44;32508;-0.447
546;-0.46;-0.44;32946;-0.448
530;-0.46;-0.44;32626;-0.448
525;-0.46;-0.44;30327;-0.447
477;-0.46;-0.44;27460;-0.447
488;-0.46;-0.44;28067;-0.446
490;-0.45;-0.44;27144;-0.446
493;-0.46;-0.44;30023;-0.447
500;-0.46;-0.43;29914;-0.446
500;-0.45;-0.43;29858;-0.445
482;-0.46;-0.44;28383;-0.446
496;-0.46;-0.44;30432;-0.447
486;-0.46;-0.44;30198;-0.448
486;-0.46;-0.44;30113;-0.447
457;-0.5;-0.4;22326;-0.446
478;-0.46;-0.44;24446;-0.447
475;-0.46;-0.44;26264;-0.447
484;-0.46;-0.44;28301;-0.447
468;-0.46;-0.43;27605;-0.447
464;-0.46;-0.43;28158;-0.446
457;-0.46;-0.43;27466;-0.447
488;-0.47;-0.44;29177;-0.448
479;-0.48;-0.43;29078;-0.449
482;-0.46;-0.43;29195;-0.445
475;-0.46;-0.43;30311;-0.445
439;-0.46;-0.44;27165;-0.447
429;-0.46;-0.43;25029;-0.446
471;-0.45;-0.41;32457;-0.443
469;-0.46;-0.43;29367;-0.445
472;-0.45;-0.43;29464;-0.445
471;-0.45;-0.43;26909;-0.444
484;-0.45;-0.4;34660;-0.439
507;-0.46;-0.43;30313;-0.447
391;-0.46;-0.44;26499;-0.448
380;-0.46;-0.44;25885;-0.446
478;-0.46;-0.43;31853;-0.447
465;-0.49;-0.43;26754;-0.45
465;-0.46;-0.43;27407;-0.446
372;-0.46;-0.41;21386;-0.444
349;-0.46;-0.41;19863;-0.443
369;-0.47;-0.44;23289;-0.449
367;-0.49;-0.44;21468;-0.45
466;-0.46;-0.43;29205;-0.447
471;-0.46;-0.44;32560;-0.447
483;-0.46;-0.43;30371;-0.447
484;-0.46;-0.43;30776;-0.447
477;-0.46;-0.44;29551;-0.447
538;-0.46;-0.38;40587;-0.426
496;-0.46;-0.43;30208;-0.446
487;-0.46;-0.43;29675;-0.446
493;-0.45;-0.43;28847;-0.445
479;-0.46;-0.43;30312;-0.445
480;-0.45;-0.43;30691;-0.445
464;-0.46;-0.43;28776;-0.445
450;-0.46;-0.43;27094;-0.447
503;-0.46;-0.43;29654;-0.445
492;-0.46;-0.43;28020;-0.445
494;-0.46;-0.4;31323;-0.443
352;-0.46;-0.43;23136;-0.449
444;-0.46;-0.43;26492;-0.447
447;-0.46;-0.43;25227;-0.446
483;-0.46;-0.43;28056;-0.447
487;-0.46;-0.43;29187;-0.446
516;-0.46;-0.43;30431;-0.448
503;-0.46;-0.44;31437;-0.449
510;-0.46;-0.43;32840;-0.446
519;-0.46;-0.43;31899;-0.447
365;-0.46;-0.44;28602;-0.448
384;-0.46;-0.44;28211;-0.448
392;-0.46;-0.44;29754;-0.447
386;-0.46;-0.44;29227;-0.448
392;-0.46;-0.44;28089;-0.447
402;-0.46;-0.43;28339;-0.446
409;-0.46;-0.43;28551;-0.447
402;-0.46;-0.43;28173;-0.447
419;-0.46;-0.43;29741;-0.447
386;-0.5;-0.4;24047;-0.448
386;-0.46;-0.43;28180;-0.447
386;-0.46;-0.42;25700;-0.446
373;-0.46;-0.4;27344;-0.442
374;-0.45;-0.4;26294;-0.438
386;-0.46;-0.4;26235;-0.44
377;-0.46;-0.41;27533;-0.442
375;-0.46;-0.42;29219;-0.444
370;-0.46;-0.42;26859;-0.444
381;-0.46;-0.42;26899;-0.445
387;-0.46;-0.41;29027;-0.444
375;-0.46;-0.42;27174;-0.443
363;-0.46;-0.41;26954;-0.444
